ai_register_id,name_ai_system_en,name_ai_system_fr,government_organization,description_ai_system_en,description_ai_system_fr,ai_system_primary_users_en,ai_system_primary_users_fr,developed_by_en,developed_by_fr,vendor_information,ai_system_status_en,ai_system_status_fr,status_date,ai_system_capabilities_en,ai_system_capabilities_fr,data_sources_en,data_sources_fr,involves_personal_information,personal_information_banks_en,personal_information_banks_fr,notification_ai,ai_system_results_en,ai_system_results_fr
2526-PCH-001,Drafting Ministerial Correspondence,Rédaction de la correspondance ministérielle,Canadian Heritage / Patrimoine canadien,"DCMF conducted an experiment to assess the potential of Generative artificial intelligence (AI) in drafting ministerial correspondence. The goal was to test if Generative AI could draft responses matching or exceeding human-written quality while being more efficient (time, completeness, error rate, etc.). The experiment was integrated into existing workflows with minimal disruption, adhering to Government of Canada policies and privacy standards.Future recommended actions include the implementation and integration of generative AI with existing systems to streamline workflows.
","DCMF a mené une expérience pour évaluer le potentiel de l'intelligence artificielle générative (IA) dans la rédaction de la correspondance ministérielle. L'objectif était de tester si l'IA générative pouvait rédiger des réponses d'une qualité égale ou supérieure à celle de l'écriture humaine tout en étant plus efficace (temps, exhaustivité, taux d'erreur, etc.). L'expérience a été intégrée aux flux de travail existants avec un minimum de perturbations, conformément aux politiques et aux normes de confidentialité du gouvernement du Canada. Parmi les futures mesures recommandées, mentionnons la mise en œuvre et l'intégration de l'IA générative aux systèmes existants afin de rationaliser les flux de travail.",GC employees,Employés du GC,Vendor,Fournisseur,OpenAI,Retired,Mis hors service,2025,Bot-Agent-Assistant,Bot-Agent-Assistant,Bot language used publicly available information,Le langage des robots a utilisé des informations accessibles au public,N,,,N,"Experiment proved successful.
On-going: developping process that could be adapted to any type of LLM equipped with a bot-agent-assistant","L'expérience s'est avérée fructueuse.
En cours : développement d'un processus qui pourrait être adapté à tout type de grand modèle de langage équipé d'un bot-agent-assistant"
2526-PCH-002,Analysis,Analyse,Canadian Heritage / Patrimoine canadien,"Exploring AI to support both plain language and analysis of large quantities of qualitative information gathered in interviews, surveys and literature reviews to identify recurring themes and patterns. Evaluation of Copilot, ChatGPT and others for this purpose underway.","Explorer l'IA pour soutenir à la fois le langage clair et l'analyse de grandes quantités de renseignements qualitatifs recueillis lors d'entrevues, de sondages et d'analyses documentaires afin de déterminer les thèmes et les tendances récurrents. L'évaluation de Copilot, ChatGPT et d'autres à cette fin est en cours.",GC employees,Employés du GC,Vendor,Fournisseur,"Microsoft, Open AI",In development,En cours de développement,2024,,,,,,,,,,
2526-PCH-003,Grants and Contributions,Subventions et contributions,Canadian Heritage / Patrimoine canadien,"Conducted an AI experiment aimed at revolutionizing how grants and contributions (G&Cs) are managed and delivered. Over ten weeks, we explored how Human-Centred AI and machine learning could be leveraged to enhance program discoverability and improve service delivery for clients seeking funding. To this end, we developed an enriched Large Language Model (LLM) based on the Department's program structure and program guidelines. As a result of the experiment, we have identified the potential to scale the approach, including as broadly as across the public sector. The departmental lead for the experiment, as well as the President and Chief Executive Officer of the firm that supported the experiment, will be delivering a live demonstration of the AI-powered discovery tool at the 2025 DPI Professional Development Week to showcase its capabilities in transforming G&Cs service delivery. Originally developed by Systemscope prior to their acquisition by Levio)","Réalisation d'une expérience d'IA visant à révolutionner la façon dont les subventions et contributions (S et C) sont gérées et fournies. Pendant dix semaines, nous avons exploré comment l'IA centrée sur la personne et l'apprentissage automatique pourraient être mises à profit pour améliorer la découverte des programmes et la prestation de services aux clients cherchant du financement. À cette fin, nous avons élaboré un grand modèle de langage (GML) enrichi fondé sur la structure et les lignes directrices du programme du Ministère. À la suite de l'expérience, nous avons identifié la possibilité d'étendre l'approche, y compris à l'échelle du secteur public. Le responsable ministériel de l'expérience, ainsi que le président et chef de la direction de l'entreprise qui a soutenu l'expérience, feront une démonstration en direct de l'outil de découverte alimenté par l'IA lors de la Semaine du perfectionnement professionnel 2025 de DPI afin de démontrer ses capacités à transformer la prestation des services de S et C. Développé à l'origine par Systemscope avant son acquisition par Levio)",Members of public,Membres du public,Vendor,Fournisseur,Levio,Retired,Mis hors service,2025,Agent assistant,Assistante d'agent,Canadian Heritage funding webpages,Pages Web sur le financement de Patrimoine canadien,N,,,N,"Experiment proved successful, and has concluded.",L'expérience s'est avérée fructueuse et s'est terminée.
2526-PCH-004,Chat GPT to support the evaluation of programs,Chat GPT pour soutenir l'évaluation des programmes,Canadian Heritage / Patrimoine canadien,"Exploring AI to support both plain language and analysis of large quantities of qualitative information gathered in interviews, surveys and literature reviews to identify recurring themes and patterns. Conducting this pilot of ChatGPT Teams  as it appeared to have greater capabilities for evaluation while while respecting guidelines (particularly not using any personal, protected information).  Best practices and lessons learned being gathered to inform longer term solutions and standards with PCH function area.","Explorer l'IA pour soutenir à la fois le langage clair et l'analyse de grandes quantités de renseignements qualitatifs recueillis lors d'entrevues, de sondages et d'analyses documentaires afin de déterminer les thèmes et les tendances récurrents. Mener ce projet pilote de ChatGPT Teams, car il semblait avoir de plus grandes capacités d'évaluation tout en respectant les directives (en particulier l'interdiction d'utiliser des informations personnelles et protégées).  Les pratiques exemplaires et les leçons apprises sont recueillies pour éclairer les solutions et les normes à long terme avec le secteur fonctionnel de PCH.",GC employees,Employés du GC,Vendor,Fournisseur, Open AI,In development,En cours de développement,2025,Analysis of published reports and data; plain language support for reporting (editing),L'analyse des rapports et des données publiés; Soutien en langage clair pour la production de rapports (édition),Published literature and reports; non-protected information and materials.,La documentation et les rapports publiés; Renseignements et matériel non protégés.,N,,,N,Ongoing; will have results in 2025-26,– En cours; aura des résultats en 2025-2026
2526-CRTC-001,Microsoft Copilot,Microsoft Copilot,Canadian Radio-television and Telecommunications Commission / Conseil de la radiodiffusion et des télécommunications canadiennes,"The CRTC is exploring Microsoft Copilot via a pilot program, to assess its potential value to the organization. Microsoft Copilot is an AI-powered digital companion designed to boost productivity and creativity.","Le CRTC étudie Microsoft Copilot dans le cadre d'un programme pilote, afin d'évaluer sa valeur potentielle pour l'organisation. Microsoft Copilot est un compagnon numérique alimenté par l'IA conçu pour stimuler la productivité et la créativité.",GC employees,Employés du GC,Vendor,Fournisseur,Microsoft,,,2024,"Large language model, generative AI, chatbot","Grand modèle de langage, IA générative, robot conversationnel",,,,,,,,
2526-CRTC-002,Azure Open AI Service,Azure Open AI Service,Canadian Radio-television and Telecommunications Commission / Conseil de la radiodiffusion et des télécommunications canadiennes,"Azure OpenAI Service is a Microsoft-managed platform providing access to OpenAI's powerful generative AI models, like the GPT-4 and GPT-4 Omni families, within the Azure cloud environment","Azure OpenAI Service est une plateforme gérée par Microsoft qui permet d'accéder aux puissants modèles d'IA générative d'OpenAI, tels que les familles GPT-4 et GPT-4 Omni, au sein de l'environnement cloud Azure",GC employees,Employés du GC,Vendor,Fournisseur,Microsoft,,,2025,,,,,,,,,,
2526-CRTC-003,Azure AI Services: Translator,Azure AI Services: Translator,Canadian Radio-television and Telecommunications Commission / Conseil de la radiodiffusion et des télécommunications canadiennes,"Azure AI Translator is a cloud-based neural machine translation service that is part of the Azure AI services family. Translator powers many Microsoft products and services. Translator can enable you to build intelligent, multi-language solutions for your applications across all supported languages.

",Azure AI Translator est un service de traduction automatique neuronale basé sur le cloud qui fait partie de la famille de services Azure AI. Translator alimente de nombreux produits et services Microsoft. Translator peut vous permettre de créer des solutions intelligentes et multilingues pour vos applications dans toutes les langues prises en charge.,GC employees,Employés du GC,Vendor,Fournisseur,Microsoft,,,2025,,,,,,,,,,
2526-CRTC-004,CANChat,CANChat,Canadian Radio-television and Telecommunications Commission / Conseil de la radiodiffusion et des télécommunications canadiennes,"CANChat is a Generative AI chatbot pilot providing general-purpose multi-function Gen AI tools in a safe, secure and open way.","CANChat est un projet pilote de robot conversationnel d'IA générative fournissant des outils d'IA Gen polyvalents et polyvalents de manière sûre, sécurisée et ouverte.",GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,,,2024,"Large language model, generative AI, chatbot","Grand modèle de langage, IA générative, robot conversationnel",,,,,,,,
2526-CSA-ASC-001,Contactless and Remote Physiological Stress Monitoring (CARPS),Surveillance du stress physiologique sans contact et à distance ,Canadian Space Agency / Agence spatiale canadienne,Stress monitoring based on facial and mmwave data.,Surveillance du stress basée sur les données faciales et les ondes millimétriques.,GC employees,Employés du GC,Vendor,Fournisseur,Thales,In development,En cours de développement,2024,Machine learning; deep learning,apprentissage automatique; apprentissage profond,Health database; deidentified datasets,Base de données sur la santé; Ensembles de données anonymisés,Y,,,Y,Stress evaluation scores with recommendations,Notes d'évaluation du stress avec recommandations
2526-CSA-ASC-002,PAT (Personal Assistant Trainer),Assistant Formateur Personnel,Canadian Space Agency / Agence spatiale canadienne,"PAT is intended to support operators’ space robotics training by creating a state-of-the-art learning experience that includes both theoretical knowledge and practical application. Familiarization with the Mobile Servicing System (MSS, aka Canadarm2) and its robotics work station (RWS) operational environment is the first lesson new recruits receive when taking the robotics training at CSA. Under this initiative, PAT will provide this familiarization training, first for the MSS currently on the International Space Station, and eventually for the Gateway External Robotics System (Canadarm3) located on the new Gateway Station orbiting the Moon. The goal is to provide a comprehensive learning experience for CSA personnel, ensuring they are well equipped to handle current and future space missions. This project aims to set a new benchmark for adaptive learning within the CSA by integrating AI to enhance operational efficiency and effectiveness.","L'Assistant Formateur Personnel est destiné à soutenir la formation des opérateurs en robotique spatiale en créant une expérience d'apprentissage de pointe qui comprend à la fois des connaissances théoriques et des applications pratiques. La familiarisation avec le système d'entretien mobile (SEM, alias Canadarm2) et son environnement opérationnel de poste de travail robotique (RWS) est la première leçon que les nouvelles recrues reçoivent lorsqu'elles suivent la formation en robotique à l'ASC. Dans le cadre de cette initiative, l'Assistant formateur personnel fournira cette formation de familiarisation, d'abord pour le SEM actuellement à bord de la Station spatiale internationale, et éventuellement pour le système robotique externe Gateway (Canadarm3) situé sur la nouvelle station Gateway en orbite autour de la Lune. L'objectif est d'offrir une expérience d'apprentissage complète au personnel de l'ASC, en veillant à ce qu'il soit bien équipé pour gérer les missions spatiales actuelles et futures. Ce projet vise à établir une nouvelle référence en matière d'apprentissage adaptatif au sein de l'ASC en intégrant l'IA pour améliorer l'efficience et l'efficacité opérationnelles.",GC employees,Employés du GC,Vendor,Fournisseur,OVA,In development,En cours de développement,2024,,,,,,,,,"PAT will significantly increase the effectiveness of the training programs by reducing the costs for one-on-one instruction, trainee travel, and trainee and instructor logistics. This has the potential to reduce costs significantly for CSA’s modern space missions and operations involving the Canadarm technology. PAT can be extended to other lessons and other training applications and can be used to complement existing training delivery methods.","Le PAT augmentera considérablement l'efficacité des programmes de formation en réduisant les coûts liés à l'enseignement individuel, aux déplacements des stagiaires et à la logistique des stagiaires et des instructeurs. Cela a le potentiel de réduire considérablement les coûts des missions spatiales modernes de l'ASC et des opérations utilisant la technologie du Canadarm. Le PAT peut être étendu à d'autres leçons et à d'autres applications de formation et peut être utilisé pour compléter les méthodes de prestation de formation existantes."
2526-CSA-ASC-003,Algorithms for fatigue detection,Algorithmes de détection de la fatigue,Canadian Space Agency / Agence spatiale canadienne,Algorithms to monitor and detect fatigue and stress using biosensors.,Algorithmes pour surveiller et détecter la fatigue et le stress à l'aide de biocapteurs.,GC employees,Employés du GC,Vendor,Fournisseur,Myant,In development,En cours de développement,2023,Machine learning; deep learning,apprentissage automatique; Apprentissage profond,Health database; deidentified datasets,Base de données sur la santé; Ensembles de données anonymisés,Y,,,Y,"Using smart textiles for biomonitoring, the AI system identifies fatigue and stress","À l'aide de textiles intelligents pour la biosurveillance, le système d'IA identifie la fatigue et le stress"
2526-CSA-ASC-004,Canadarm3 (space robotics) autonomy & safety AI modules,Modules d'IA d'autonomie et de sécurité du Canadarm3 (robotique spatiale),Canadian Space Agency / Agence spatiale canadienne,"AI modules developed for the trajectory planning, flight product definition, and safety monitoring in support of Canadarm3 operations.","Modules d'IA développés pour la planification de trajectoire, la définition des produits de vol et la surveillance de la sécurité à l'appui des opérations du Canadarm3.",Both employees and public,Les employés et le public,Vendor,Fournisseur,"MDA Inc, Subs",,,2020,,,,,,,,,,
2526-CSA-ASC-005,Connected Care Medical Module - Clinical decision support system,Module médical Connected Care - Système d'aide à la décision clinique,Canadian Space Agency / Agence spatiale canadienne,Artificial Intelligence Architecture for Spaceflight Medical Decision Support System.,Architecture d'intelligence artificielle pour le système d'aide à la décision médicale des vols spatiaux.,GC employees,Employés du GC,Vendor,Fournisseur,"Lunar Medical Inc, Paratus Medical, Baune",In development,En cours de développement,2019,Speech to text; machine learning; generative AI,conversion de la parole en texte; l'apprentissage automatique; IA générative,Health database; deidentified datasets,Base de données sur la santé; Ensembles de données anonymisés,Y,,,Y,Guidance through medical procedures; anomaly detection,Orientation par le biais de procédures médicales; Détection d'anomalies
2526-CSA-ASC-006,Assess crop disease risk,Évaluer le risque de maladie des cultures,Canadian Space Agency / Agence spatiale canadienne,Development of a crop disease risk assessment web tool for the Canadian Prairies (Phase 1).,Élaboration d'un outil Web d'évaluation des risques de maladies des cultures pour les Prairies canadiennes (phase 1).,GC employees,Employés du GC,Vendor,Fournisseur,H20 Geomatics Inc.,,,2019,,,,,,,,,,
2526-CSA-ASC-007,Manage maritime risk and manage vessels,Gérer les risques maritimes et gérer les navires,Canadian Space Agency / Agence spatiale canadienne,Artificial intelligence tool to improve maritime risks and manage vessels (Phase 1).,Outil d'intelligence artificielle pour améliorer les risques maritimes et gérer les navires (phase 1).,GC employees,Employés du GC,Vendor,Fournisseur,Global Spatial Technology Solutions Inc.,,,2021,,,,,,,,,,
2526-CSA-ASC-008, Automatize tasking,Automatisez l'attribution des tâches,Canadian Space Agency / Agence spatiale canadienne,Autonomous Tasking Optimization via Machine learning  (Phase 1).,Optimisation de l'attribution de tâches autonomes au moyen de l'apprentissage automatique (phase 1).,GC employees,Employés du GC,Vendor,Fournisseur, SkyWatch Space Applications Inc.,,,2019,,,,,,,,,,
2526-CSA-ASC-009,Map and monitor shoals,Cartographier et surveiller les hauts-fonds,Canadian Space Agency / Agence spatiale canadienne,Satellite mapping and monitoring of shoals through Artificial Intelligence (Phase 1).,Cartographie par satellite et surveillance des hauts-fonds grâce à l'intelligence artificielle (phase 1).,GC employees,Employés du GC,Vendor,Fournisseur, Effigis Geo-Solutions,,,2019,,,,,,,,,,
2526-CSA-ASC-010,Provide predictions of wildfires using satellite imagery,Fournir des prévisions des feux de forêt à l'aide de l'imagerie satellitaire.,Canadian Space Agency / Agence spatiale canadienne,Wildfire predictions using satellite data and machine learning (Phase 1). Developed by the Canada Research and Development Corporation. ,Prévisions des feux de forêt à l'aide de données satellitaires et de l'apprentissage automatique (phase 1). Élaboré par la Corporation canadienne de recherche et de développement. ,GC employees,Employés du GC,Vendor,Fournisseur,,,,2021,,,,,,,,,,
2526-CSC-SCC-001,Microsoft Copilot,Microsoft Copilot,Correctional Service of Canada / Service correctionnel du Canada,"CSC has also begun testing a time-specific, limited roll-out (50 licenses) of Microsoft 365 Copilot. CSC is currently undertaking preparatory work, including the definition of cyber and IT security guidelines, to ensure the eventual safe, secure and responsible implememtation and adoption of this tool.","Le SCC a également commencé à mettre à l'essai un déploiement limité dans un délai précis (50 licences) de Microsoft 365 Copilot. Le SCC entreprend actuellement des travaux préparatoires, y compris la définition de lignes directrices en matière de cybersécurité et de sécurité des TI, afin d'assurer la mise en œuvre et l'adoption sûres, sécuritaires et responsables de cet outil.",GC employees,Employés du GC,Vendor,Fournisseur,Microsoft,In development,En cours de développement,2025,,,Tool does not retain context across multiple sessions,L'outil ne conserve pas le contexte entre plusieurs sessions,Y,,,Y,CSC is running a limited pilot to identify use cases where a generative AI tool is integrated within the M365 suite of products. To inform future business case(s) and evaluate the operational efficiencies.  ,Le SCC mène un projet pilote limité pour déterminer les cas d'utilisation où un outil d'IA générative est intégré à la suite de produits M365. Éclairer les analyses de rentabilisation futures et évaluer les gains d'efficacité opérationnelle.  
2526-CSC-SCC-002,CorrCHAT,CorrCHAT,Correctional Service of Canada / Service correctionnel du Canada,CSC has begun testing a solution that will help CSC employees to consult the Comissioner's directives in a more intuative format instead of searching manually via our current Intranet website. The core solution is leveraging part of NRC's AI Zone best practices and developed it's own version of the code. ,Le SCC a commencé à mettre à l'essai une solution qui aidera les employés du SCC à consulter les directives du commissaire dans un format plus intuitif plutôt que de faire une recherche manuelle sur notre site intranet actuel. La solution de base tire parti d'une partie des pratiques exemplaires de la zone d'IA du CNRC et a développé sa propre version du code. ,GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,In development,En cours de développement,2025,"Generative AI chatbot, Document search","Robot conversationnel d'IA générative, recherche de documents",Department generated PDFs,PDF générés par le ministère,N,,,Y,Pilot AI solution as a result of commitments to the EX AI Accelerator course.  This system will help speed up research for policy instruments within CSC (Commisoners directive) Operational efficiencies are gained by responding quicky vs reviewing specifc CDs manually. Goal is at end of pilot to evaluate full deployment to CSC intranet.,"Mettre à l'essai une solution d'IA à la suite des engagements pris dans le cadre du cours Accélérateur d'IA pour les EX.  Ce système permettra d'accélérer la recherche d'instruments de politique au sein du SCC (directive des commissaires). Des gains d'efficacité opérationnelle sont obtenus en répondant rapidement plutôt qu'en examinant manuellement des CD spécifiques. À la fin du projet pilote, l'objectif est d'évaluer le déploiement complet sur l'intranet du SCC."
2526-JUS-001,Westlaw Edge with CoCounsel,Westlaw Edge avec co-avocat,Department of Justice Canada / Ministère de la Justice Canada,Pilot project for evaluation.  Westlaw EdgeAdds an AI research assistant to Justice Canada's Westlaw Canada legal research subscription service.  Westlaw CoCounsel is an AI-powered legal assistant developed by Thomson Reuters that integrates generative AI with the content of Westlaw to expedite legal tasks. ,Projet pilote aux fins d'évaluation.  Westlaw EdgeAjout d'un assistant de recherche en IA au service d'abonnement à la recherche juridique de Westlaw Canada de Justice Canada.  Westlaw CoCounsel est un assistant juridique alimenté par l'IA développé par Thomson Reuters qui intègre l'IA générative au contenu de Westlaw pour accélérer les tâches juridiques. ,GC employees,Employés du GC,Vendor,Fournisseur,Thomson Reuters,In development,En cours de développement,2025,Generative AI,IA générative,Existing proprietary publications and datasets. ,Publications et ensembles de données exclusifs existants. ,N,,,Y,"Pilot only at this time.  Evaluation of AI enhancements to existing legal research subscriptions. Participants compare AI results to conventional research methods and provide feedback on the comprehensiveness and accuracy of responses, as well as the time and research effort required.","Projet pilote seulement pour le moment.  Évaluation des améliorations apportées par l'IA aux abonnements existants à la recherche juridique. Les participants comparent les résultats de l'IA aux méthodes de recherche conventionnelles et fournissent des commentaires sur l'exhaustivité et l'exactitude des réponses, ainsi que sur le temps et l'effort de recherche requis."
2526-JUS-002,CoCounsel Core,CoCounsel Core,Department of Justice Canada / Ministère de la Justice Canada,"Pilot project for evaluation. CoCounsel Core adds additional features (drafting, summarization, document comparison) beyond what was available in Westlaw Edge with CoCounsel for Justice Canada's Westlaw legal research subscription service. Westlaw CoCounsel Core is a legal AI product developed by Thomson Reuters, designed to assist legal professionals with complex legal research and document review tasks. It’s part of the broader CoCounsel suite, which integrates generative AI capabilities into legal workflows.","Projet pilote aux fins d'évaluation. CoCounsel Core ajoute des fonctionnalités supplémentaires (rédaction, résumé, comparaison de documents) au-delà de ce qui était disponible dans le service d'abonnement à la recherche juridique Westlaw de CoCounsel de Justice Canada. Westlaw CoCounsel Core est un produit d'IA juridique développé par Thomson Reuters, conçu pour aider les professionnels du droit à effectuer des recherches juridiques complexes et des tâches d'examen de documents. Il fait partie de la suite plus large du CoCounsel, qui intègre des capacités d'IA générative dans les flux de travail juridiques.",GC employees,Employés du GC,Vendor,Fournisseur,Thomson Reuters,In development,En cours de développement,2025,Generative AI,IA générative,Existing proprietary publications and datasets. ,Publications et ensembles de données exclusifs existants. ,N,,,Y,"Pilot only at this time. Evaluation of AI enhancements to existing legal research subscriptions. Participants compare AI results to conventional research methods and provide feedback on the comprehensiveness and accuracy of responses, as well as the time and research effort required.","Projet pilote seulement pour le moment. Évaluation des améliorations apportées par l'IA aux abonnements existants à la recherche juridique. Les participants comparent les résultats de l'IA aux méthodes de recherche conventionnelles et fournissent des commentaires sur l'exhaustivité et l'exactitude des réponses, ainsi que sur le temps et l'effort de recherche requis."
2526-JUS-003,Nuix Neo,Nuix Neo,Department of Justice Canada / Ministère de la Justice Canada,"Pilot project for evaluation of Nuix Neo in supporting the digital investigation, litigation support, and e-discovery functions at Justice Canada. 

This initiative arises from the need to modernize legacy workflows, streamline evidence processing, and take advantage of new functionalities in Nuix Neo, such as enhanced automation, advanced analytics, and a centralized user interface.","Projet pilote pour l'évaluation de Nuix Neo à l'appui des fonctions d'enquête numérique, de soutien aux litiges et d'administration de la preuve électronique à Justice Canada. 

Cette initiative découle de la nécessité de moderniser les flux de travail existants, de rationaliser le traitement des preuves et de tirer parti des nouvelles fonctionnalités de Nuix Neo, telles qu'une automatisation améliorée, des analyses avancées et une interface utilisateur centralisée.",GC employees,Employés du GC,Vendor,Fournisseur,Nuix,In development,En cours de développement,2025,Semantic search,Recherche sémantique,Digital evidence within our evidence management system,Preuves numériques dans notre système de gestion des preuves,N,,,Y,"Increasing automation, reducing manual effort, and improving consistency across the document review lifecycle.","Accroître l'automatisation, réduire les efforts manuels et améliorer l'uniformité tout au long du cycle de vie de la révision des documents."
2526-JUS-004,Lexis+ AI,Lexis+ IA,Department of Justice Canada / Ministère de la Justice Canada,"Pilot project for evaluation. Lexis+ adds an AI research assistant and other functionality (drafting, summarization) to Lexis+ legal research subscription service. Lexis+ is an integrated legal information platform by LexisNexis that combines legal research, practical guidance, and advanced AI capabilities, including a personalized AI assistant for drafting, summarization, and analysis on a collection of legal content, such as case law and legislation. ","Projet pilote aux fins d'évaluation. Lexis+ ajoute un assistant de recherche en IA et d'autres fonctionnalités (rédaction, résumé) au service d'abonnement à la recherche juridique Lexis+. Lexis+ est une plateforme intégrée d'information juridique de LexisNexis qui combine la recherche juridique, l'orientation pratique et les capacités avancées de l'IA, y compris un assistant d'IA personnalisé pour la rédaction, le résumé et l'analyse d'un ensemble de contenus juridiques, tels que la jurisprudence et la législation. ",GC employees,Employés du GC,Vendor,Fournisseur,LexisNexis,In development,En cours de développement,2025,Generative AI,IA générative,Existing proprietary publications and datasets. ,Publications et ensembles de données exclusifs existants. ,N,,,Y,"Pilot only at this time. Evaluation of AI enhancements to existing legal research subscriptions. Participants compare AI results to conventional research methods and provide feedback on the comprehensiveness and accuracy of responses, as well as the time and research effort required.","Projet pilote seulement pour le moment. Évaluation des améliorations apportées par l'IA aux abonnements existants à la recherche juridique. Les participants comparent les résultats de l'IA aux méthodes de recherche conventionnelles et fournissent des commentaires sur l'exhaustivité et l'exactitude des réponses, ainsi que sur le temps et l'effort de recherche requis."
2526-JUS-005,JUStranslate,JUSTraduire,Department of Justice Canada / Ministère de la Justice Canada,"JUSTranslate is a translation service approved for handling information up to and including Protected B, which typically covers information subject to solicitor-client privilege. Translations generated by JUSTranslate rely on cloud-based automated systems.","JUSTraduire est un service de traduction approuvé pour le traitement de renseignements jusqu'au niveau Protégé B inclusivement, qui couvre généralement les renseignements protégés par le secret professionnel de l'avocat. Les traductions générées par JUSTraduire s'appuient sur des systèmes automatisés basés sur le cloud.",GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,In production,En production,2025,Generative AI,IA générative,User Uploads,Téléchargements d'utilisateurs,Y,,,Y,Provide all employees with a translation tool.,Fournir à tous les employés un outil de traduction.
2526-JUS-006,Otto,Otto,Department of Justice Canada / Ministère de la Justice Canada,"Otto is an AI platform developed specifically for the Department of Justice Canada to streamline and enhance the efficiency of legal professionals and government officials. By leveraging automation and generative AI, Otto assists users with tasks such as answering questions, summarizing and translating documents, and searching legislation, all within a secure environment suitable for sensitive data. Its role is to provide accurate, professional, and helpful responses, direct users to relevant sources for verification, and ultimately empower Justice Canada employees to work more effectively and make informed decisions.","Otto est une plateforme d'IA développée spécialement pour le ministère de la Justice du Canada afin de rationaliser et d'améliorer l'efficacité des professionnels du droit et des représentants du gouvernement. En tirant parti de l'automatisation et de l'IA générative, Otto aide les utilisateurs à répondre à des questions, à résumer et à traduire des documents et à rechercher des lois, le tout dans un environnement sécurisé adapté aux données sensibles. Son rôle est de fournir des réponses précises, professionnelles et utiles, d'orienter les utilisateurs vers des sources pertinentes aux fins de vérification et, en fin de compte, de permettre aux employés de Justice Canada de travailler plus efficacement et de prendre des décisions éclairées.",GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,In development,En cours de développement,2025,Generative AI & Vision AI,IA générative et vision de l'IA,User Uploads,Téléchargements d'utilisateurs,Y,,,Y,"Reducing effort spent on repetitive tasks to free up time for higher-value analytical work, provide employees with AI-enabled tools within a Protected-B environment.","Réduire les efforts consacrés aux tâches répétitives afin de libérer du temps pour des travaux analytiques de plus grande valeur, fournir aux employés des outils basés sur l'IA dans un environnement Protégé B."
2526-ESDC-EDSC-001,Enhancing EquiVision by Using Artificial Intelligence,Améliorer EquiVision en utilisant l'intelligence artificielle,Employment and Social Development Canada / Emploi et Développement social Canada,"This project aims to identify potential employment barriers and foster the public accountability of employers for the implementation of employment equity in their workplaces. A user can explore data by employer, sector, and location on this website. This initiative aims to empower decision-makers, federally regulated employers, and business sectors by enhancing Equi’Vision (a Power BI dynamic website) with AI-driven solutions to better capture and analyze Diversity, Equity and Inclusion (DEI) data.​ Equi'Vision provides data on representation rates and pay gaps in private-sector workplaces. The project aims to empower decision-makers, federally regulated employers, and business sectors by enhancing Equi'Vision with AI-driven solutions to automate data collection, streamline analysis, and provides deeper insight into DEI metrics. Developed in part by ESDC. ","Ce projet vise à cerner les obstacles potentiels à l'emploi et à favoriser la responsabilisation publique des employeurs pour la mise en œuvre de l'équité en matière d'emploi dans leur milieu de travail. Un utilisateur peut explorer les données par employeur, secteur et emplacement sur ce site Web. Cette initiative vise à habiliter les décideurs, les employeurs sous réglementation fédérale et les secteurs d'activité en améliorant Equi'Vision (un site Web dynamique Power BI) avec des solutions basées sur l'IA pour mieux saisir et analyser les données sur la diversité, l'équité et l'inclusion (DEI). Equi'Vision fournit des données sur les taux de représentation et les écarts de rémunération dans les lieux de travail du secteur privé. Le projet vise à responsabiliser les décideurs, les employeurs sous réglementation fédérale et les secteurs d'activité en améliorant Equi'Vision avec des solutions basées sur l'IA pour automatiser la collecte de données, rationaliser l'analyse et fournir une meilleure compréhension des mesures de DEI. Élaboré en partie par EDSC. ",GC employees,Employés du GC,Vendor,Fournisseur,Microsoft,In development,En cours de développement,2025,Generative AI; Natural Language Processing,l'IA générative; Traitement automatique du langage naturel,In-House/Mircosoft,À l'interne/Mircosoft,Y,PSU 905,POU 905,Y,"The AI system is expected to improve adherence to DEI (Diversity, Equity, and Inclusion) commitments, increase efficiency in data management, and enhance accessibility for all users, particularly individuals with disabilities.","Le système d'IA devrait améliorer le respect des engagements en matière de diversité, d'équité et d'inclusion, accroître l'efficacité de la gestion des données et améliorer l'accessibilité pour tous les utilisateurs, en particulier les personnes handicapées."
